Purchase Order Number,Bill of Lading,Target Dispatch,SECO Routing,Carrier,SCAC,Packages,Weight
0030-5529368-0558,40395882,40395882,SDQD296356,SECO BROKERED,SDQD,1,1
0030-5529368-0559,40395882,40395882,SDQD296356,SECO BROKERED,SDQD,1,1
0030-5529368-0580,40395882,40395882,SDQD296356,SECO BROKERED,SDQD,3,3
0030-5529368-0588,40395882,40395882,SDQD296356,SECO BROKERED,SDQD,16,37
0030-5529368-0590,40395882,40395882,SDQD296356,SECO BROKERED,SDQD,1,1
0030-5529368-3801,40395882,40395882,SDQD296356,SECO BROKERED,SDQD,4,4
0030-5529368-3857,40395882,40395882,SDQD296356,SECO BROKERED,SDQD,11,29
0030-5529368-3865,40395882,40395882,SDQD296356,SECO BROKERED,SDQD,16,21
10000916589-0551,40395882,40395882,SDQD296356,SECO BROKERED,SDQD,29,38
10000916589-0553,40395882,40395882,SDQD296356,SECO BROKERED,SDQD,30,39
10000916589-0554,40395882,40395882,SDQD296356,SECO BROKERED,SDQD,39,51
10000916589-0555,40395882,40395882,SDQD296356,SECO BROKERED,SDQD,40,52
10000916589-0556,40395882,40395882,SDQD296356,SECO BROKERED,SDQD,34,45
10000916589-0557,40395882,40395882,SDQD296356,SECO BROKERED,SDQD,26,34
10000916589-0558,40395882,40395882,SDQD296356,SECO BROKERED,SDQD,34,45
10000916589-0559,40395882,40395882,SDQD296356,SECO BROKERED,SDQD,27,36
10000916589-0560,40395882,40395882,SDQD296356,SECO BROKERED,SDQD,33,43
10000916589-0578,40395882,40395882,SDQD296356,SECO BROKERED,SDQD,38,50
10000916589-0579,40395882,40395882,SDQD296356,SECO BROKERED,SDQD,35,46
10000916589-0580,40395882,40395882,SDQD296356,SECO BROKERED,SDQD,33,43
10000916589-0587,40395882,40395882,SDQD296356,SECO BROKERED,SDQD,28,37
10000916589-0588,40395882,40395882,SDQD296356,SECO BROKERED,SDQD,44,58
10000916589-0589,40395882,40395882,SDQD296356,SECO BROKERED,SDQD,30,39
10000916589-0590,40395882,40395882,SDQD296356,SECO BROKERED,SDQD,21,28
10000916589-0593,40395882,40395882,SDQD296356,SECO BROKERED,SDQD,38,50
10000916589-0594,40395882,40395882,SDQD296356,SECO BROKERED,SDQD,23,30
10000916589-3801,40395882,40395882,SDQD296356,SECO BROKERED,SDQD,27,36
10000916589-3802,40395882,40395882,SDQD296356,SECO BROKERED,SDQD,32,42
10000916589-3803,40395882,40395882,SDQD296356,SECO BROKERED,SDQD,30,39
10000916589-3804,40395882,40395882,SDQD296356,SECO BROKERED,SDQD,35,46
10000916589-3806,40395882,40395882,SDQD296356,SECO BROKERED,SDQD,29,38
10000916589-3808,40395882,40395882,SDQD296356,SECO BROKERED,SDQD,31,41
10000916589-3811,40395882,40395882,SDQD296356,SECO BROKERED,SDQD,37,49
10000916589-3856,40395882,40395882,SDQD296356,SECO BROKERED,SDQD,14,19
10000916589-3857,40395882,40395882,SDQD296356,SECO BROKERED,SDQD,7,10
10000916589-3865,40395882,40395882,SDQD296356,SECO BROKERED,SDQD,5,7
